# neuroc1 3/9/2022 2:40 PM
time Delta Theta Alpha1 Alpha2 Beta1 Beta2 Gamma1 Gamma2 Attention Meditation Derived totPwr  class 
# LogStarts: HEAD_SET 3/9/2022 -- 2:40 PM: obs 0
# StartBaseline:  3/9/2022 -- 2:40 PM: obs 0
120 128.0 94931 29795 21805 6306 29116 14696 2663 12193 54 48 NA 211505  X
121 129.0 84443 17375 2333 2181 8960 5349 4516 4524 56 20 NA 129681  X
122 130.0 36447 15624 1200 59090 17315 9572 10236 5340 66 38 NA 154824  X
123 131.0 101182 7370 4560 10059 5185 3354 1887 1074 69 44 NA 134671  X
124 132.0 279840 98677 34065 52493 31926 41734 8056 3776 69 48 NA 550567  X
125 133.0 24661 23838 3711 7885 9997 11666 7039 1820 74 54 NA 90617  X
126 134.0 4156 4050 3816 5698 5240 1911 1511 291 74 50 NA 26673  X
127 135.0 237044 24187 25409 102578 15621 29802 5685 3034 75 57 NA 443360  X
128 136.0 40475 72195 3840 4589 9733 7632 1114 787 64 40 NA 140365  X
129 137.0 5250 29934 9798 9123 6032 8194 7233 6711 60 48 NA 82275  X
130 138.0 10340 27277 15699 6527 19015 5624 2594 2823 56 38 NA 89899  X
131 139.0 53875 64960 13999 30334 20548 10964 4542 4305 50 23 NA 203527  X
132 140.0 7314 9199 15782 4594 47289 8833 3983 2527 61 35 NA 99521  X
133 141.0 27800 7308 1977 50761 4434 25132 5081 3203 69 47 NA 125696  X
134 142.0 129129 11845 3572 1067 3340 2323 1757 578 70 41 NA 153611  X
135 143.0 27714 6357 5722 4758 2668 3656 1177 1181 78 48 NA 53233  X
136 144.0 13202 8775 2137 7386 13742 14036 3355 4324 88 47 NA 66957  X
137 145.0 23378 26016 16461 20660 25415 5844 8974 4008 70 40 NA 130756  X
138 146.0 30927 37739 15108 10431 12742 12495 4890 3723 75 44 NA 128055  X
139 147.0 33894 61775 12888 31219 22796 35105 4682 2508 80 35 NA 204867  X
140 148.0 31876 16074 5636 17449 22211 8556 4745 2336 66 41 NA 108883  X
141 149.0 38658 52475 10258 24236 22203 11343 6839 3036 70 35 NA 169048  X
142 150.0 149211 29082 2602 5394 6658 7189 884 920 70 27 NA 201940  X
143 151.0 24220 21474 29168 31907 2988 7934 5545 3819 57 47 NA 127055  X
144 152.0 1256 14940 28174 19225 4954 10898 3796 2992 54 57 NA 86235  X
145 153.0 110115 18592 20828 8093 12106 8606 6846 4624 57 64 NA 189810  X
146 154.0 454448 64295 14243 13312 6758 3516 1540 857 40 74 NA 558969  X
147 155.0 24099 40952 5587 8637 14289 19076 9334 3056 54 47 NA 125030  X
148 156.0 65725 37954 10532 18162 18818 9838 7584 2576 53 30 NA 171189  X
149 157.0 25277 6518 5675 28465 11687 4234 7576 2956 47 40 NA 92388  X
150 158.0 41612 33564 2681 24138 9984 7116 2780 1309 57 44 NA 123184  X
151 159.0 7878 4887 13356 24851 4588 11628 3608 3539 56 70 NA 74335  X
152 160.0 25084 52707 15209 12228 15389 24810 4248 1657 64 67 NA 151332  X
153 161.0 43467 9617 15919 10834 13759 9797 5558 1646 75 60 NA 110597  X
154 162.0 5527 8124 12664 20977 18733 9601 3196 3293 83 66 NA 82115  X
155 163.0 18632 12726 15666 17662 4519 7700 2760 2410 78 63 NA 82075  X
156 164.0 161964 44756 25939 38777 15027 12042 4436 9884 64 77 NA 312825  X
157 165.0 306702 66487 54684 9735 10333 12293 3050 2632 54 77 NA 465916  X
158 166.0 23281 5940 35779 30241 6662 18553 4813 3066 56 84 NA 128335  X
159 167.0 705510 34181 28564 24614 27939 15117 4943 6601 56 77 NA 847469  X
160 168.0 6556 21523 47555 31452 15826 8681 5080 3413 54 83 NA 140086  X
161 169.0 86373 51885 48200 34424 23844 10552 3393 2224 51 87 NA 260895  X
162 170.0 13235 42902 13952 10077 11415 9406 3673 2129 43 64 NA 106789  X
